order_id,order_date,week_start,year,month,week_number,quarter,customer_id,customer_segment,product_id,product_category,product_name,quantity,unit_price,discount,revenue,margin,city,sales_channel,campaign_name,visits,cart_additions,completed_orders,payment_method,order_status,is_completed,conversion_rate,cart_abandonment_rate
ORD000001,2024-01-03,2024-01-01,2024,1,1,1,C0381,Government,P062,Networking,Cable Kit Pro Pro Pro,4,621.71,0.1,2238.16,499.11,Leeds,Partner,Partner Week,31,12,1,Bank Transfer,Completed,True,0.03225806451612903,0.9166666666666666
ORD000002,2024-01-03,2024-01-01,2024,1,1,1,C0465,Startup,P065,Office Supply,Standing Desk Pro Pro,5,182.42,0.0,912.1,218.9,Cardiff,Direct,Loyalty Drive,47,6,1,Credit Card,Completed,True,0.02127659574468085,0.8333333333333334
ORD000003,2024-01-03,2024-01-01,2024,1,1,1,C0381,Government,P019,Networking,Firewall,2,282.71,0.1,508.88,162.33,Leeds,Direct,Spring Promo,5,1,0,PayPal,Pending,False,0.0,1.0
ORD000004,2024-01-03,2024-01-01,2024,1,1,1,C0381,Government,P012,Software,CRM License,4,1432.63,0.05,5443.99,1965.28,Leeds,Direct,Loyalty Drive,39,5,1,PayPal,Completed,True,0.02564102564102564,0.8
ORD000005,2024-01-03,2024-01-01,2024,1,1,1,C0381,Government,P017,Networking,Switch,3,332.68,0.0,998.04,487.04,Leeds,Partner,Organic / None,42,9,1,Credit Card,Completed,True,0.023809523809523808,0.8888888888888888
ORD000006,2024-01-03,2024-01-01,2024,1,1,1,C0381,Government,P010,Office Supply,Pen Set,1,76.83,0.0,76.83,25.58,Leeds,Partner,Loyalty Drive,8,1,0,Bank Transfer,Completed,True,0.0,1.0
ORD000007,2024-01-03,2024-01-01,2024,1,1,1,C0381,Government,P074,Networking,Cable Kit Pro Pro Pro,4,771.13,0.2,2467.62,550.28,Leeds,Partner,Organic / None,34,13,1,PayPal,Completed,True,0.029411764705882353,0.9230769230769231
ORD000008,2024-01-03,2024-01-01,2024,1,1,1,C0381,Government,P024,Cloud Services,Backup Plan,2,478.69,0.05,909.51,404.73,Leeds,Partner,Loyalty Drive,33,11,1,Bank Transfer,Completed,True,0.030303030303030304,0.9090909090909091
ORD000009,2024-01-03,2024-01-01,2024,1,1,1,C0381,Government,P050,Software,Analytics Tool Pro Pro Pro,2,3708.85,0.1,6675.93,2036.16,Leeds,Direct,Summer Sale,24,9,1,Credit Card,Completed,True,0.041666666666666664,0.8888888888888888
ORD000010,2024-01-03,2024-01-01,2024,1,1,1,C0381,Government,P042,Networking,Firewall Pro,2,407.55,0.05,774.35,247.02,Leeds,Partner,Spring Promo,68,6,1,Credit Card,Pending,False,0.014705882352941176,0.8333333333333334
ORD000011,2024-01-03,2024-01-01,2024,1,1,1,C0381,Government,P068,Office Supply,Standing Desk Pro Pro,2,228.31,0.0,456.62,109.59,Leeds,Partner,New Year Deal,71,30,1,Bank Transfer,Completed,True,0.014084507042253521,0.9666666666666667
ORD000012,2024-01-03,2024-01-01,2024,1,1,1,C0465,Startup,P016,Networking,Router,1,348.55,0.0,348.55,148.13,Cardiff,Online Store,Summer Sale,36,8,1,Credit Card,Completed,True,0.027777777777777776,0.875
ORD000013,2024-01-04,2024-01-01,2024,1,1,1,C0381,Government,P010,Office Supply,Pen Set,3,76.83,0.0,230.49,76.75,Leeds,Online Store,Loyalty Drive,19,6,0,Credit Card,Completed,True,0.0,1.0
ORD000014,2024-01-04,2024-01-01,2024,1,1,1,C0381,Government,P017,Networking,Switch,1,332.68,0.15,282.78,138.0,Leeds,Online Store,Back-to-Business,35,10,0,Bank Transfer,Completed,True,0.0,1.0
ORD000015,2024-01-04,2024-01-01,2024,1,1,1,C0381,Government,P040,Networking,Router Pro,10,468.48,0.0,4684.8,1991.04,Leeds,Direct,Q4 Push,65,19,1,Credit Card,Completed,True,0.015384615384615385,0.9473684210526316
ORD000016,2024-01-04,2024-01-01,2024,1,1,1,C0104,SMB,P064,Networking,Cable Kit Pro Pro Pro,2,675.89,0.0,1351.78,301.45,Leeds,Online Store,Loyalty Drive,69,16,1,Credit Card,Completed,True,0.014492753623188406,0.9375
ORD000017,2024-01-04,2024-01-01,2024,1,1,1,C0465,Startup,P075,Software,Analytics Tool Pro Pro,1,2329.89,0.0,2329.89,710.62,Cardiff,Marketplace,Flash Sale,77,20,0,Credit Card,Completed,True,0.0,1.0
ORD000018,2024-01-04,2024-01-01,2024,1,1,1,C0381,Government,P006,Electronics,Headset,1,503.98,0.0,503.98,193.53,Leeds,Marketplace,Partner Week,33,11,1,Credit Card,Completed,True,0.030303030303030304,0.9090909090909091
ORD000019,2024-01-04,2024-01-01,2024,1,1,1,C0381,Government,P061,Electronics,Mouse Pro Pro,4,1009.82,0.15,3433.39,992.25,Leeds,Marketplace,Flash Sale,18,6,1,Invoice,Cancelled,False,0.05555555555555555,0.8333333333333334
ORD000020,2024-01-04,2024-01-01,2024,1,1,1,C0104,SMB,P074,Networking,Cable Kit Pro Pro Pro,1,771.13,0.0,771.13,171.96,Leeds,Partner,Summer Sale,48,16,1,Bank Transfer,Completed,True,0.020833333333333332,0.9375
ORD000021,2024-01-04,2024-01-01,2024,1,1,1,C0465,Startup,P069,Networking,Cable Kit Pro,2,351.91,0.0,703.82,156.95,Cardiff,Marketplace,Loyalty Drive,47,10,0,Credit Card,Completed,True,0.0,1.0
ORD000022,2024-01-04,2024-01-01,2024,1,1,1,C0465,Startup,P054,Software,ERP Module Pro,3,1378.64,0.0,4135.92,1170.47,Cardiff,Online Store,Loyalty Drive,17,4,0,Bank Transfer,Refunded,False,0.0,1.0
ORD000023,2024-01-04,2024-01-01,2024,1,1,1,C0104,SMB,P016,Networking,Router,4,348.55,0.0,1394.2,592.53,Leeds,Online Store,Spring Promo,13,4,1,Bank Transfer,Completed,True,0.07692307692307693,0.75
ORD000024,2024-01-04,2024-01-01,2024,1,1,1,C0465,Startup,P073,Networking,Switch Pro,2,380.83,0.0,761.66,371.69,Cardiff,Direct,Partner Week,36,5,0,PayPal,Pending,False,0.0,1.0
ORD000025,2024-01-04,2024-01-01,2024,1,1,1,C0465,Startup,P025,Cloud Services,CDN Package Pro,1,445.74,0.05,423.45,123.22,Cardiff,Marketplace,New Year Deal,42,14,1,Bank Transfer,Completed,True,0.023809523809523808,0.9285714285714286
ORD000026,2024-01-04,2024-01-01,2024,1,1,1,C0104,SMB,P011,Office Supply,Organizer,2,179.1,0.05,340.29,148.03,Leeds,Marketplace,Summer Sale,8,1,1,Invoice,Completed,True,0.125,0.0
ORD000027,2024-01-04,2024-01-01,2024,1,1,1,C0465,Startup,P008,Office Supply,Standing Desk,2,113.13,0.1,203.63,48.87,Cardiff,Partner,Organic / None,36,4,0,Bank Transfer,Pending,False,0.0,1.0
ORD000028,2024-01-04,2024-01-01,2024,1,1,1,C0104,SMB,P011,Office Supply,Organizer,1,179.1,0.05,170.14,74.01,Leeds,Partner,New Year Deal,37,16,0,Invoice,Completed,True,0.0,1.0
ORD000029,2024-01-04,2024-01-01,2024,1,1,1,C0104,SMB,P025,Cloud Services,CDN Package Pro,1,445.74,0.15,378.88,110.25,Leeds,Direct,Loyalty Drive,62,8,1,Bank Transfer,Pending,False,0.016129032258064516,0.875
ORD000030,2024-01-05,2024-01-01,2024,1,1,1,C0381,Government,P050,Software,Analytics Tool Pro Pro Pro,5,3708.85,0.0,18544.25,5656.0,Leeds,Online Store,Summer Sale,68,25,1,PayPal,Completed,True,0.014705882352941176,0.96
ORD000031,2024-01-05,2024-01-01,2024,1,1,1,C0303,Enterprise,P078,Cloud Services,Storage Plan Pro Pro,2,819.11,0.0,1638.22,666.76,Glasgow,Direct,Q4 Push,69,15,1,PayPal,Completed,True,0.014492753623188406,0.9333333333333333
ORD000032,2024-01-05,2024-01-01,2024,1,1,1,C0465,Startup,P058,Software,ERP Module Pro,5,1637.75,0.05,7779.31,2201.54,Cardiff,Online Store,Loyalty Drive,38,4,1,Bank Transfer,Completed,True,0.02631578947368421,0.75
ORD000033,2024-01-05,2024-01-01,2024,1,1,1,C0303,Enterprise,P018,Networking,Access Point,5,305.79,0.2,1223.16,489.26,Glasgow,Direct,Back-to-Business,8,1,1,Bank Transfer,Completed,True,0.125,0.0
ORD000034,2024-01-05,2024-01-01,2024,1,1,1,C0465,Startup,P030,Office Supply,Notebook Pro,2,224.55,0.05,426.64,199.67,Cardiff,Online Store,Flash Sale,73,12,0,Credit Card,Completed,True,0.0,1.0
ORD000035,2024-01-05,2024-01-01,2024,1,1,1,C0104,SMB,P076,Software,Analytics Tool Pro,1,1839.69,0.0,1839.69,561.11,Leeds,Marketplace,Q4 Push,35,15,1,Credit Card,Completed,True,0.02857142857142857,0.9333333333333333
ORD000036,2024-01-05,2024-01-01,2024,1,1,1,C0104,SMB,P050,Software,Analytics Tool Pro Pro Pro,3,3708.85,0.05,10570.22,3223.92,Leeds,Direct,Partner Week,29,7,1,Credit Card,Completed,True,0.034482758620689655,0.8571428571428572
ORD000037,2024-01-05,2024-01-01,2024,1,1,1,C0465,Startup,P075,Software,Analytics Tool Pro Pro,1,2329.89,0.0,2329.89,710.62,Cardiff,Marketplace,New Year Deal,44,12,1,Bank Transfer,Refunded,False,0.022727272727272728,0.9166666666666666
ORD000038,2024-01-05,2024-01-01,2024,1,1,1,C0303,Enterprise,P074,Networking,Cable Kit Pro Pro Pro,1,771.13,0.05,732.57,163.36,Glasgow,Online Store,Spring Promo,36,6,1,PayPal,Completed,True,0.027777777777777776,0.8333333333333334
ORD000039,2024-01-05,2024-01-01,2024,1,1,1,C0303,Enterprise,P038,Software,Security Suite Pro,2,1336.32,0.0,2672.64,847.23,Glasgow,Partner,Loyalty Drive,65,21,0,PayPal,Completed,True,0.0,1.0
ORD000040,2024-01-05,2024-01-01,2024,1,1,1,C0465,Startup,P062,Networking,Cable Kit Pro Pro Pro,1,621.71,0.05,590.62,131.71,Cardiff,Marketplace,Flash Sale,52,17,0,Bank Transfer,Completed,True,0.0,1.0
ORD000041,2024-01-05,2024-01-01,2024,1,1,1,C0104,SMB,P065,Office Supply,Standing Desk Pro Pro,3,182.42,0.0,547.26,131.34,Leeds,Partner,Summer Sale,44,15,1,PayPal,Completed,True,0.022727272727272728,0.9333333333333333
ORD000042,2024-01-05,2024-01-01,2024,1,1,1,C0381,Government,P018,Networking,Access Point,1,305.79,0.0,305.79,122.32,Leeds,Direct,Back-to-Business,72,31,1,PayPal,Completed,True,0.013888888888888888,0.967741935483871
ORD000043,2024-01-05,2024-01-01,2024,1,1,1,C0303,Enterprise,P043,Software,Analytics Tool Pro,3,1835.43,0.1,4955.66,1511.48,Glasgow,Direct,Summer Sale,67,15,1,Credit Card,Completed,True,0.014925373134328358,0.9333333333333333
ORD000044,2024-01-05,2024-01-01,2024,1,1,1,C0104,SMB,P031,Cloud Services,CDN Package Pro,2,489.68,0.1,881.42,256.49,Leeds,Partner,Spring Promo,14,1,1,Bank Transfer,Completed,True,0.07142857142857142,0.0
ORD000045,2024-01-05,2024-01-01,2024,1,1,1,C0465,Startup,P066,Office Supply,Standing Desk Pro Pro Pro,4,211.9,0.0,847.6,203.42,Cardiff,Direct,Q4 Push,30,4,1,PayPal,Completed,True,0.03333333333333333,0.75
ORD000046,2024-01-05,2024-01-01,2024,1,1,1,C0104,SMB,P014,Software,Analytics Tool,1,1392.78,0.0,1392.78,424.8,Leeds,Direct,New Year Deal,28,7,1,Invoice,Completed,True,0.03571428571428571,0.8571428571428572
ORD000047,2024-01-05,2024-01-01,2024,1,1,1,C0104,SMB,P062,Networking,Cable Kit Pro Pro Pro,2,621.71,0.05,1181.25,263.42,Leeds,Online Store,Loyalty Drive,6,2,1,PayPal,Pending,False,0.16666666666666666,0.5
ORD000048,2024-01-05,2024-01-01,2024,1,1,1,C0381,Government,P029,Office Supply,Standing Desk Pro,1,154.98,0.0,154.98,37.2,Leeds,Marketplace,Partner Week,39,10,1,PayPal,Completed,True,0.02564102564102564,0.9
ORD000049,2024-01-05,2024-01-01,2024,1,1,1,C0465,Startup,P045,Networking,Cable Kit Pro,1,384.92,0.0,384.92,85.84,Cardiff,Online Store,Loyalty Drive,19,7,0,Credit Card,Pending,False,0.0,1.0
ORD000050,2024-01-05,2024-01-01,2024,1,1,1,C0104,SMB,P011,Office Supply,Organizer,1,179.1,0.05,170.14,74.01,Leeds,Direct,Summer Sale,35,15,1,Credit Card,Completed,True,0.02857142857142857,0.9333333333333333
ORD000051,2024-01-05,2024-01-01,2024,1,1,1,C0381,Government,P014,Software,Analytics Tool,1,1392.78,0.15,1183.86,361.08,Leeds,Direct,Q4 Push,62,24,0,PayPal,Completed,True,0.0,1.0
ORD000052,2024-01-05,2024-01-01,2024,1,1,1,C0381,Government,P079,Electronics,Laptop Pro,5,397.18,0.0,1985.9,667.26,Leeds,Direct,Q4 Push,24,8,0,Credit Card,Completed,True,0.0,1.0
