customer_id,customer_segment,city,customer_signup_date
C0001,Startup,Liverpool,2024-02-07
C0002,Startup,Birmingham,2024-11-21
C0003,SMB,Birmingham,2024-10-01
C0004,SMB,Leeds,2024-07-03
C0005,SMB,Liverpool,2024-06-30
C0006,Startup,Birmingham,2024-12-26
C0007,Startup,Dublin,2024-02-06
C0008,Enterprise,Glasgow,2024-10-19
C0009,Enterprise,Cardiff,2024-03-25
C0010,SMB,Bristol,2024-02-09
C0011,Enterprise,Leeds,2024-08-09
C0012,Startup,Birmingham,2025-02-13
C0013,SMB,Edinburgh,2024-11-05
C0014,Enterprise,Leeds,2024-11-15
C0015,Government,Birmingham,2024-10-28
C0016,Enterprise,Dublin,2024-11-26
C0017,SMB,Glasgow,2024-08-03
C0018,Enterprise,London,2024-02-23
C0019,Enterprise,Glasgow,2024-12-18
C0020,Enterprise,Glasgow,2024-07-08
C0021,Enterprise,Cardiff,2024-07-29
C0022,Enterprise,Edinburgh,2024-06-04
C0023,Enterprise,Manchester,2024-03-17
C0024,SMB,Manchester,2025-01-24
C0025,Startup,Bristol,2024-11-24
C0026,SMB,London,2024-09-27
C0027,SMB,Leeds,2024-06-18
C0028,SMB,Manchester,2024-12-11
C0029,Startup,London,2024-08-17
C0030,Startup,Dublin,2024-07-05
C0031,Enterprise,London,2024-07-08
C0032,Enterprise,London,2024-04-05
C0033,SMB,Dublin,2024-02-08
C0034,SMB,Manchester,2024-08-20
C0035,SMB,Cardiff,2025-01-07
C0036,SMB,London,2024-01-27
C0037,Enterprise,Manchester,2024-12-26
C0038,SMB,Manchester,2024-12-13
C0039,SMB,Edinburgh,2024-04-26
C0040,Enterprise,Bristol,2024-09-22
C0041,Startup,Glasgow,2024-03-10
C0042,Enterprise,Birmingham,2024-11-14
C0043,Government,London,2024-10-21
C0044,Enterprise,Liverpool,2024-05-28
C0045,Startup,Birmingham,2024-01-29
C0046,Government,Liverpool,2025-02-11
C0047,Government,Bristol,2024-07-06
