order_id,customer_id,customer_segment,order_date,week,product_id,product_category,product_name,quantity,unit_price,discount,revenue,margin,city,sales_channel,campaign_name,visits,cart_additions,completed_orders,customer_signup_date,last_purchase_date,payment_method,order_status
ORD000001,C0381,Government,2024-01-03,2024-01-01,P062,Networking,Cable Kit Pro Pro Pro,4,621.71,0.1,2238.16,499.11,Leeds,Partner,Partner Week,31,12,1,2024-01-03,2024-01-03,Bank Transfer,Completed
ORD000002,C0465,Startup,2024-01-03,2024-01-01,P065,Office Supply,Standing Desk Pro Pro,5,182.42,0.0,912.1,218.9,Cardiff,Direct,Loyalty Drive,47,6,1,2024-01-03,2024-01-03,Credit Card,Completed
ORD000003,C0381,Government,2024-01-03,2024-01-01,P019,Networking,Firewall,2,282.71,0.1,508.88,162.33,Leeds,Direct,Spring Promo,5,1,0,2024-01-03,2024-01-03,PayPal,Pending
ORD000004,C0381,Government,2024-01-03,2024-01-01,P012,Software,CRM License,4,1432.63,0.05,5443.99,1965.28,Leeds,Direct,Loyalty Drive,39,5,1,2024-01-03,2024-01-03,PayPal,Completed
ORD000005,C0381,Government,2024-01-03,2024-01-01,P017,Networking,Switch,3,332.68,0.0,998.04,487.04,Leeds,Partner,Organic / None,42,9,1,2024-01-03,2024-01-03,Credit Card,Completed
ORD000006,C0381,Government,2024-01-03,2024-01-01,P010,Office Supply,Pen Set,1,76.83,0.0,76.83,25.58,Leeds,Partner,Loyalty Drive,8,1,0,2024-01-03,2024-01-03,Bank Transfer,Completed
ORD000007,C0381,Government,2024-01-03,2024-01-01,P074,Networking,Cable Kit Pro Pro Pro,4,771.13,0.2,2467.62,550.28,Leeds,Partner,Organic / None,34,13,1,2024-01-03,2024-01-03,PayPal,Completed
ORD000008,C0381,Government,2024-01-03,2024-01-01,P024,Cloud Services,Backup Plan,2,478.69,0.05,909.51,404.73,Leeds,Partner,Loyalty Drive,33,11,1,2024-01-03,2024-01-03,Bank Transfer,Completed
ORD000009,C0381,Government,2024-01-03,2024-01-01,P050,Software,Analytics Tool Pro Pro Pro,2,3708.85,0.1,6675.93,2036.16,Leeds,Direct,Summer Sale,24,9,1,2024-01-03,2024-01-03,Credit Card,Completed
ORD000010,C0381,Government,2024-01-03,2024-01-01,P042,Networking,Firewall Pro,2,407.55,0.05,774.35,247.02,Leeds,Partner,Spring Promo,68,6,1,2024-01-03,2024-01-03,Credit Card,Pending
ORD000011,C0381,Government,2024-01-03,2024-01-01,P068,Office Supply,Standing Desk Pro Pro,2,228.31,0.0,456.62,109.59,Leeds,Partner,New Year Deal,71,30,1,2024-01-03,2024-01-03,Bank Transfer,Completed
ORD000012,C0465,Startup,2024-01-03,2024-01-01,P016,Networking,Router,1,348.55,0.0,348.55,148.13,Cardiff,Online Store,Summer Sale,36,8,1,2024-01-03,2024-01-03,Credit Card,Completed
ORD000013,C0381,Government,2024-01-04,2024-01-01,P010,Office Supply,Pen Set,3,76.83,0.0,230.49,76.75,Leeds,Online Store,Loyalty Drive,19,6,0,2024-01-03,2024-01-04,Credit Card,Completed
ORD000014,C0381,Government,2024-01-04,2024-01-01,P017,Networking,Switch,1,332.68,0.15,282.78,138.0,Leeds,Online Store,Back-to-Business,35,10,0,2024-01-03,2024-01-04,Bank Transfer,Completed
ORD000015,C0381,Government,2024-01-04,2024-01-01,P040,Networking,Router Pro,10,468.48,0.0,4684.8,1991.04,Leeds,Direct,Q4 Push,65,19,1,2024-01-03,2024-01-04,Credit Card,Completed
ORD000016,C0104,SMB,2024-01-04,2024-01-01,P064,Networking,Cable Kit Pro Pro Pro,2,675.89,0.0,1351.78,301.45,Leeds,Online Store,Loyalty Drive,69,16,1,2024-01-04,2024-01-04,Credit Card,Completed
ORD000017,C0465,Startup,2024-01-04,2024-01-01,P075,Software,Analytics Tool Pro Pro,1,2329.89,0.0,2329.89,710.62,Cardiff,Marketplace,Flash Sale,77,20,0,2024-01-03,2024-01-04,Credit Card,Completed
ORD000018,C0381,Government,2024-01-04,2024-01-01,P006,Electronics,Headset,1,503.98,0.0,503.98,193.53,Leeds,Marketplace,Partner Week,33,11,1,2024-01-03,2024-01-04,Credit Card,Completed
ORD000019,C0381,Government,2024-01-04,2024-01-01,P061,Electronics,Mouse Pro Pro,4,1009.82,0.15,3433.39,992.25,Leeds,Marketplace,Flash Sale,18,6,1,2024-01-03,2024-01-04,Invoice,Cancelled
ORD000020,C0104,SMB,2024-01-04,2024-01-01,P074,Networking,Cable Kit Pro Pro Pro,1,771.13,0.0,771.13,171.96,Leeds,Partner,Summer Sale,48,16,1,2024-01-04,2024-01-04,Bank Transfer,Completed
ORD000021,C0465,Startup,2024-01-04,2024-01-01,P069,Networking,Cable Kit Pro,2,351.91,0.0,703.82,156.95,Cardiff,Marketplace,Loyalty Drive,47,10,0,2024-01-03,2024-01-04,Credit Card,Completed
ORD000022,C0465,Startup,2024-01-04,2024-01-01,P054,Software,ERP Module Pro,3,1378.64,0.0,4135.92,1170.47,Cardiff,Online Store,Loyalty Drive,17,4,0,2024-01-03,2024-01-04,Bank Transfer,Refunded
ORD000023,C0104,SMB,2024-01-04,2024-01-01,P016,Networking,Router,4,348.55,0.0,1394.2,592.53,Leeds,Online Store,Spring Promo,13,4,1,2024-01-04,2024-01-04,Bank Transfer,Completed
ORD000024,C0465,Startup,2024-01-04,2024-01-01,P073,Networking,Switch Pro,2,380.83,0.0,761.66,371.69,Cardiff,Direct,Partner Week,36,5,0,2024-01-03,2024-01-04,PayPal,Pending
ORD000025,C0465,Startup,2024-01-04,2024-01-01,P025,Cloud Services,CDN Package Pro,1,445.74,0.05,423.45,123.22,Cardiff,Marketplace,New Year Deal,42,14,1,2024-01-03,2024-01-04,Bank Transfer,Completed
ORD000026,C0104,SMB,2024-01-04,2024-01-01,P011,Office Supply,Organizer,2,179.1,0.05,340.29,148.03,Leeds,Marketplace,Summer Sale,8,1,1,2024-01-04,2024-01-04,Invoice,Completed
ORD000027,C0465,Startup,2024-01-04,2024-01-01,P008,Office Supply,Standing Desk,2,113.13,0.1,203.63,48.87,Cardiff,Partner,Organic / None,36,4,0,2024-01-03,2024-01-04,Bank Transfer,Pending
ORD000028,C0104,SMB,2024-01-04,2024-01-01,P011,Office Supply,Organizer,1,179.1,0.05,170.14,74.01,Leeds,Partner,New Year Deal,37,16,0,2024-01-04,2024-01-04,Invoice,Completed
